longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.13,32.77,30,2582,650,1098,603,2.8281,171700,NEAR OCEAN
-117.13,32.76,29,2568,682,1191,642,2.1094,162500,NEAR OCEAN
-117.13,32.76,41,1545,420,747,415,2.375,154400,NEAR OCEAN
-117.13,32.76,27,2280,695,1235,664,1.9392,142900,NEAR OCEAN
-117.13,32.76,33,1591,461,794,425,2.6333,140000,NEAR OCEAN
-117.13,32.76,22,2623,732,1283,718,2.1563,127100,NEAR OCEAN
-117.14,32.76,24,3523,991,1775,873,2.1273,142300,NEAR OCEAN
-117.13,32.75,24,1877,519,898,483,2.2264,112500,NEAR OCEAN
-117.13,32.75,28,2279,671,1166,623,1.95,150000,NEAR OCEAN
-117.13,32.75,23,3999,1182,2051,1130,2.1292,135000,NEAR OCEAN
-117.13,32.75,31,2336,656,1186,609,2.5872,130600,NEAR OCEAN
-117.13,32.75,50,1476,354,698,354,3,168800,NEAR OCEAN
-117.13,32.74,52,1512,321,651,321,3.6852,185300,NEAR OCEAN
-117.13,32.75,37,4142,1031,1936,968,2.693,174100,NEAR OCEAN
-117.12,32.75,37,2344,546,1134,513,2.4394,118300,NEAR OCEAN
-117.12,32.74,46,1898,441,978,439,3.2708,155200,NEAR OCEAN
-117.12,32.74,52,1969,389,877,424,3.79,163400,NEAR OCEAN
-117.13,32.75,20,2271,602,992,520,2.2599,157600,NEAR OCEAN
-117.12,32.75,15,2671,724,1800,646,2.1394,106700,NEAR OCEAN
-117.12,32.75,17,2060,633,1251,602,1.9886,119200,NEAR OCEAN
-117.12,32.75,20,1406,413,850,412,2.3261,114600,NEAR OCEAN
-117.12,32.75,25,2222,634,1025,568,1.64,130000,NEAR OCEAN
-117.12,32.76,23,2681,717,1279,648,2.1597,116100,NEAR OCEAN
-117.12,32.76,33,2279,591,1250,576,2.4297,139000,NEAR OCEAN
-117.12,32.76,43,2336,644,1203,614,2.3594,127800,NEAR OCEAN
-117.12,32.76,26,1221,331,620,296,2.4821,123600,NEAR OCEAN
-117.11,32.76,29,2030,545,1014,518,2.2409,114200,NEAR OCEAN
-117.12,32.76,28,2160,608,1339,571,1.9152,128100,NEAR OCEAN
-117.12,32.76,27,1426,364,792,353,2.0673,118800,NEAR OCEAN
-117.12,32.76,28,1605,501,936,460,2.5991,147500,NEAR OCEAN
-117.12,32.76,17,1559,462,821,428,2.0139,150000,NEAR OCEAN
-117.12,32.76,41,1469,421,803,395,2.1856,120500,NEAR OCEAN
-117.11,32.77,48,1502,272,590,265,2.5952,190300,NEAR OCEAN
-117.11,32.77,50,1729,355,617,337,3.6705,167000,NEAR OCEAN
-117.12,32.77,48,2012,422,893,394,2.7928,175000,NEAR OCEAN
-117.12,32.77,43,2167,464,977,461,3.125,192200,NEAR OCEAN
-117.11,32.77,52,1484,224,498,223,6.6053,331400,NEAR OCEAN
-117.11,32.77,52,1506,233,478,240,4.3875,300000,NEAR OCEAN
-117.1,32.77,49,4449,711,1606,709,5.7768,281600,NEAR OCEAN
-117.1,32.76,52,2606,426,883,380,4.2813,270800,NEAR OCEAN
-117.09,32.77,38,2065,374,812,343,3.125,216500,NEAR OCEAN
-117.09,32.76,44,1139,214,470,217,3.5481,203100,NEAR OCEAN
-117.09,32.76,43,3889,711,1466,663,3.5529,223000,NEAR OCEAN
-117.11,32.76,31,2293,549,1108,557,3.3854,204400,NEAR OCEAN
-117.1,32.76,30,1835,474,934,415,2.875,139600,NEAR OCEAN
-117.11,32.76,28,1457,397,672,342,1.9799,122700,NEAR OCEAN
-117.11,32.76,21,2226,600,1085,533,2.2604,126300,NEAR OCEAN
-117.11,32.76,19,2188,616,1304,607,2.0852,114400,NEAR OCEAN
-117.1,32.75,17,871,379,955,351,1.4375,96400,NEAR OCEAN
-117.1,32.75,11,2393,726,1905,711,1.3448,91300,NEAR OCEAN
-117.11,32.75,11,1607,478,1384,450,2.05,100000,NEAR OCEAN
-117.11,32.75,21,2127,658,1812,603,1.6896,100000,NEAR OCEAN
-117.11,32.75,18,1943,587,1329,522,1.7696,103100,NEAR OCEAN
-117.09,32.76,29,1650,496,882,445,2.2287,140000,NEAR OCEAN
-117.09,32.76,31,1235,387,816,397,1.5517,122500,NEAR OCEAN
-117.1,32.76,31,987,267,619,250,2.9286,151800,NEAR OCEAN
-117.1,32.75,16,2426,799,1505,754,1.6444,103400,NEAR OCEAN
-117.1,32.75,21,2063,609,1686,558,1.4828,94800,NEAR OCEAN
-117.1,32.75,20,2355,722,1848,576,2.0036,99200,NEAR OCEAN
-117.1,32.75,15,2422,774,2120,715,1.0617,92400,NEAR OCEAN
-117.1,32.75,23,1858,551,1506,492,1.7446,85200,NEAR OCEAN
-117.11,32.75,46,695,182,601,195,2.4219,90600,NEAR OCEAN
-117.11,32.75,20,1667,469,1292,445,2.0893,101100,NEAR OCEAN
-117.11,32.75,34,2131,594,1373,562,2.113,102100,NEAR OCEAN
-117.12,32.75,13,2795,773,1869,690,2.1767,101800,NEAR OCEAN
-117.1,32.74,14,2361,601,1831,526,1.6102,93400,NEAR OCEAN
-117.11,32.74,25,2846,644,2272,632,2.2,98700,NEAR OCEAN
-117.11,32.74,25,684,190,665,187,2.4524,90300,NEAR OCEAN
-117.11,32.74,33,1126,267,621,241,3.2422,123100,NEAR OCEAN
-117.11,32.73,35,1689,397,1135,366,2.3269,97300,NEAR OCEAN
-117.1,32.73,24,2927,704,2005,668,2.2375,102900,NEAR OCEAN
-117.11,32.73,34,1096,221,574,223,3.8355,126700,NEAR OCEAN
-117.11,32.73,27,3160,627,1628,612,3.8864,132600,NEAR OCEAN
-117.09,32.75,30,1899,546,1620,493,1.6034,84400,NEAR OCEAN
-117.09,32.74,23,3130,779,2472,744,2.32,93200,NEAR OCEAN
-117.1,32.74,20,3854,1046,3555,966,1.6747,100000,NEAR OCEAN
-117.1,32.74,30,1772,500,1389,447,2.3641,94100,NEAR OCEAN
-117.1,32.75,11,1976,548,1528,512,1.4886,89800,NEAR OCEAN
-117.08,32.75,20,1886,586,1134,525,1.5029,100000,NEAR OCEAN
-117.08,32.75,16,1111,328,930,303,1.2347,128100,NEAR OCEAN
-117.08,32.75,15,1821,516,1385,439,2.5101,95300,NEAR OCEAN
-117.09,32.75,24,1245,376,1230,362,1.875,95000,NEAR OCEAN
-117.09,32.75,28,1220,391,1286,396,1.2286,105000,NEAR OCEAN
-117.09,32.75,20,1701,503,1482,465,1.6789,95500,NEAR OCEAN
-117.09,32.76,10,1922,577,1595,545,1.5208,118800,NEAR OCEAN
-117.08,32.76,18,1704,596,1639,548,1.7391,125000,NEAR OCEAN
-117.07,32.76,14,2523,545,1297,525,2.3886,138100,NEAR OCEAN
-117.07,32.75,37,2690,549,1219,524,2.3148,154200,NEAR OCEAN
-117.07,32.75,14,3073,851,2000,782,2.3824,144700,NEAR OCEAN
-117.07,32.75,9,3464,749,1687,645,3.3026,119100,NEAR OCEAN
-117.06,32.75,34,1917,419,1181,426,3.0208,129200,NEAR OCEAN
-117.05,32.74,34,2178,455,1193,446,3.1719,115300,NEAR OCEAN
-117.07,32.74,37,1042,205,589,208,2.6629,116900,NEAR OCEAN
-117.07,32.75,31,2036,501,1263,442,2.5583,120700,NEAR OCEAN
-117.08,32.75,20,1989,508,1452,462,2.0077,118300,NEAR OCEAN
-117.08,32.74,26,2359,622,2067,581,1.8103,124700,NEAR OCEAN
-117.09,32.75,19,2739,707,2004,622,1.6318,117700,NEAR OCEAN
-117.09,32.74,42,1986,472,1472,475,2.1757,110100,NEAR OCEAN
-117.08,32.74,33,3260,673,1784,666,3.5078,126500,NEAR OCEAN
-117.08,32.73,36,3331,643,1903,622,3.6974,122000,NEAR OCEAN
-117.07,32.74,38,1901,392,1099,406,2.7661,113900,NEAR OCEAN
-117.08,32.74,35,1434,253,753,228,2.3812,135100,NEAR OCEAN
-117.08,32.73,36,1158,218,619,233,3.6125,122500,NEAR OCEAN
-117.08,32.73,19,2935,763,1953,720,1.4254,111300,NEAR OCEAN
-117.07,32.73,18,2968,656,1149,581,2.6452,154200,NEAR OCEAN
-117.07,32.78,22,922,240,1524,235,1.6815,218800,NEAR OCEAN
-117.09,32.77,31,3062,,1263,539,3.0875,291500,NEAR OCEAN
-117.08,32.77,31,1070,155,426,153,6.1628,219200,NEAR OCEAN
-117.07,32.77,34,2245,394,1849,429,3.5446,185500,NEAR OCEAN
-117.07,32.77,38,3779,614,1495,614,4.3529,184000,NEAR OCEAN
-117.07,32.76,42,1827,378,880,380,2.5125,176600,NEAR OCEAN
-117.08,32.77,25,3911,849,1580,767,2.7778,184100,NEAR OCEAN
-117.08,32.76,27,1221,254,606,259,3.0833,155400,NEAR OCEAN
-117.09,32.76,31,2567,624,1255,582,2.5909,159100,NEAR OCEAN
-117.08,32.76,20,2547,785,1199,643,1.7743,140300,NEAR OCEAN
-117.04,32.77,21,1824,447,962,431,2.7826,143800,<1H OCEAN
-117.05,32.77,23,2556,662,1200,548,1.8899,147700,NEAR OCEAN
-117.06,32.77,18,2269,682,1329,581,1.7951,161800,NEAR OCEAN
-117.06,32.77,34,1730,373,730,350,2.0284,161800,NEAR OCEAN
-117.07,32.77,38,1130,228,699,241,2.65,167600,NEAR OCEAN
-117.06,32.77,32,3888,827,3868,841,3.0755,166800,NEAR OCEAN
-117.05,32.77,33,3535,683,1568,672,2.8097,158300,NEAR OCEAN
-117.06,32.76,36,2785,577,1275,527,2.3015,156800,NEAR OCEAN
-117.06,32.76,38,1549,288,636,278,3.2188,150500,NEAR OCEAN
-117.05,32.76,46,1887,359,795,358,3.25,159600,NEAR OCEAN
-117.06,32.76,37,2356,476,1231,499,2.965,155700,NEAR OCEAN
-117.06,32.76,24,1629,587,1012,488,1.7452,156800,NEAR OCEAN
-117.05,32.75,36,2024,,1030,390,3.8233,139800,NEAR OCEAN
-117.06,32.75,34,2516,611,1317,594,2.2308,125900,NEAR OCEAN
-117.05,32.75,35,2144,388,1003,383,3.0938,137300,NEAR OCEAN
-117.07,32.72,18,1758,286,987,277,4.6875,141800,NEAR OCEAN
-117.08,32.72,32,2286,468,1741,467,3.0446,101900,NEAR OCEAN
-117.07,32.71,36,2448,475,1268,450,2.5682,109100,NEAR OCEAN
-117.06,32.73,33,3444,619,1884,582,3.7891,126700,NEAR OCEAN
-117.06,32.72,31,2669,514,1626,499,3.1923,116900,NEAR OCEAN
-117.05,32.72,35,1777,369,1158,353,3.4107,117000,NEAR OCEAN
-117.06,32.71,25,2681,596,1947,553,2.8964,104300,NEAR OCEAN
-117.07,32.71,39,2754,652,2263,619,2.2454,89600,NEAR OCEAN
-117.08,32.7,35,1477,264,852,279,3.1786,100600,NEAR OCEAN
-117.08,32.7,37,2176,418,1301,375,2.875,98900,NEAR OCEAN
-117.08,32.7,36,2103,390,1279,392,2.4135,97000,NEAR OCEAN
-117.06,32.71,21,1864,388,1498,389,3.8194,125700,NEAR OCEAN
-117.06,32.71,11,2397,523,1566,514,3.8687,145200,NEAR OCEAN
-117.08,32.71,27,2204,598,1656,521,1.4821,86200,NEAR OCEAN
-117.07,32.71,26,4151,823,2822,697,2.8372,123400,NEAR OCEAN
-117.07,32.7,14,2763,456,1914,465,4.1645,143000,NEAR OCEAN
-117.07,32.69,20,2192,406,1766,393,4.0921,135000,NEAR OCEAN
-117.06,32.7,12,3943,737,3280,751,4.112,141400,NEAR OCEAN
-117.04,32.71,28,5274,991,3727,961,3.57,109800,NEAR OCEAN
-117.05,32.71,25,3292,608,2266,592,3.2986,119200,NEAR OCEAN
-117.03,32.71,33,3126,627,2300,623,3.2596,103000,NEAR OCEAN
-117.03,32.71,34,2328,444,1684,429,3.25,99600,NEAR OCEAN
-117.02,32.71,20,4050,745,2870,761,3.7366,121800,NEAR OCEAN
-117.02,32.7,22,2756,516,1849,486,4.1837,125400,NEAR OCEAN
-117.02,32.7,18,1643,283,1134,269,5.1769,133000,NEAR OCEAN
-117.02,32.71,30,3187,592,2082,631,3.5388,118500,NEAR OCEAN
-117.01,32.7,25,2321,398,1434,386,3.5341,120800,NEAR OCEAN
-117.05,32.69,8,831,158,740,154,5.3908,165500,NEAR OCEAN
-117.06,32.69,9,1520,269,1250,265,4.8875,157700,NEAR OCEAN
-117.06,32.69,13,705,149,718,155,4.4375,154900,NEAR OCEAN
-117.06,32.69,9,521,111,491,110,5.1305,158900,NEAR OCEAN
-117.03,32.7,19,2304,572,2010,556,2.2866,109900,NEAR OCEAN
-117.04,32.69,27,1790,356,1286,347,3.5437,115800,NEAR OCEAN
-117.04,32.7,7,9311,1703,7302,1694,4.419,156900,NEAR OCEAN
-117.07,32.68,18,1475,267,1149,268,5.0827,142200,NEAR OCEAN
-117.06,32.68,38,1481,317,1080,291,2.85,125800,NEAR OCEAN
-117.06,32.68,36,3815,796,2945,728,2.0959,125000,NEAR OCEAN
-117.05,32.69,21,991,210,695,203,3.625,144300,NEAR OCEAN
-117.06,32.68,41,2665,515,1664,512,2.375,113500,NEAR OCEAN
-117.06,32.67,29,4047,754,2353,730,4.0505,125000,NEAR OCEAN
-117.05,32.68,35,3414,580,1761,522,3.9922,129800,NEAR OCEAN
-117.05,32.67,32,4227,785,2842,795,3.9646,137800,NEAR OCEAN
-117.05,32.68,19,1469,275,1010,292,3.5664,150400,NEAR OCEAN
-117.05,32.67,16,2168,343,1589,338,5.4863,153800,NEAR OCEAN
-117.06,32.66,33,3425,511,1528,479,5.6889,234600,NEAR OCEAN
-117.06,32.66,24,2587,491,1617,458,3.5066,133400,NEAR OCEAN
-117.04,32.66,22,3362,630,1471,612,4.1442,303900,NEAR OCEAN
-117.03,32.67,15,5094,818,2118,758,5.3505,266600,NEAR OCEAN
-117.02,32.68,14,3986,675,2065,702,5.7192,267400,NEAR OCEAN
-117.05,32.69,14,1689,555,1319,527,3.16,143800,NEAR OCEAN
-117.05,32.68,15,1828,359,955,248,3.2174,165100,NEAR OCEAN
-117.04,32.68,13,2132,425,1345,432,4,89300,NEAR OCEAN
-117.04,32.68,14,1320,270,943,260,5.0947,152700,NEAR OCEAN
-117.04,32.67,14,3464,683,2139,734,4.0668,137500,NEAR OCEAN
-117.04,32.69,9,3417,860,2521,828,3.02,158900,NEAR OCEAN
-117.04,32.68,9,3087,609,1530,556,3.775,125000,NEAR OCEAN
-117.04,32.68,11,1875,357,1014,386,4.375,115000,NEAR OCEAN
-117.01,32.7,7,2327,490,1304,445,3.3553,132200,NEAR OCEAN
-117.02,32.69,7,6055,1004,3031,952,4.436,135000,NEAR OCEAN
-117.03,32.69,5,3201,532,2061,536,5.0829,179400,NEAR OCEAN
-117.03,32.69,10,901,163,698,167,4.6648,156100,NEAR OCEAN
-117.03,32.69,8,2460,397,1784,390,4.5662,175500,NEAR OCEAN
-117.09,32.71,12,3375,945,2357,808,1.5,106300,NEAR OCEAN
-117.09,32.7,15,869,217,887,216,1.4583,84200,NEAR OCEAN
-117.09,32.7,22,2409,582,1887,578,1.4089,94200,NEAR OCEAN
-117.09,32.69,18,1645,430,1221,410,1.3269,108000,NEAR OCEAN
-117.09,32.69,20,1102,205,852,217,3.1833,108300,NEAR OCEAN
-117.1,32.69,11,3071,911,2812,774,1.2413,83100,NEAR OCEAN
-117.1,32.7,28,633,137,525,170,3.6042,95600,NEAR OCEAN
-117.1,32.7,42,2002,488,1505,464,1.5057,86300,NEAR OCEAN
-117.1,32.71,9,1931,472,1628,445,2.085,92600,NEAR OCEAN
-117.09,32.73,26,3114,686,1948,660,2.8942,124100,NEAR OCEAN
-117.1,32.72,5,1615,387,1094,394,2.2024,137200,NEAR OCEAN
-117.09,32.72,39,1273,246,770,242,2.0938,102500,NEAR OCEAN
-117.09,32.72,33,1096,240,716,224,1.6944,111800,NEAR OCEAN
-117.09,32.73,28,3109,594,1559,589,3.5789,120300,NEAR OCEAN
-117.09,32.71,29,2238,523,2061,504,2.5559,96800,NEAR OCEAN
-117.1,32.71,29,3422,713,2775,644,1.7075,86900,NEAR OCEAN
-117.1,32.71,25,939,247,1003,240,1.75,87900,NEAR OCEAN
-117.11,32.72,25,1491,348,1183,316,1.9583,88600,NEAR OCEAN
-117.11,32.71,30,1729,457,1673,460,1.7,85900,NEAR OCEAN
-117.11,32.7,34,2028,522,1797,464,1.7402,79400,NEAR OCEAN
-117.11,32.7,37,2045,502,1920,472,1.8125,83300,NEAR OCEAN
-117.11,32.7,33,1980,488,1626,428,1.4856,86400,NEAR OCEAN
-117.12,32.7,14,819,237,827,237,1.3194,90500,NEAR OCEAN
-117.12,32.7,36,1011,253,763,226,1.8187,84100,NEAR OCEAN
-117.11,32.71,29,1040,291,1054,297,1.1818,83200,NEAR OCEAN
-117.1,32.69,37,1269,340,1369,302,2.2102,87200,NEAR OCEAN
-117.1,32.69,35,1292,272,1183,272,2.0547,98000,NEAR OCEAN
-117.11,32.69,36,1421,367,1418,355,1.9425,93400,NEAR OCEAN
-117.11,32.69,34,1144,295,1271,302,2.09,91800,NEAR OCEAN
-117.11,32.69,37,2395,627,2489,599,1.5933,86300,NEAR OCEAN
-117.11,32.69,39,395,159,620,162,2.725,86500,NEAR OCEAN
-117.12,32.69,46,200,77,180,65,1.0658,93800,NEAR OCEAN
-117.12,32.69,37,1082,294,1146,265,2.0673,88500,NEAR OCEAN
-117.12,32.7,38,818,217,953,231,1.0531,65700,NEAR OCEAN
-117.12,32.7,37,1361,348,1398,328,1.1681,78100,NEAR OCEAN
-117.13,32.69,36,1469,400,1271,340,1.043,90100,NEAR OCEAN
-117.13,32.7,48,786,230,917,231,1.875,75600,NEAR OCEAN
-117.13,32.7,42,1210,292,945,258,0.8991,78900,NEAR OCEAN
-117.13,32.7,38,1445,392,1286,357,1.4632,80200,NEAR OCEAN
-117.13,32.7,35,1179,344,1372,330,1.9509,70200,NEAR OCEAN
-117.12,32.71,33,1256,331,1315,321,1.9286,78500,NEAR OCEAN
-117.13,32.71,38,993,246,760,205,1.1563,82700,NEAR OCEAN
-117.13,32.71,42,1145,314,1114,307,1.2614,87500,NEAR OCEAN
-117.13,32.71,44,1697,413,1396,363,1.5474,83300,NEAR OCEAN
-117.13,32.72,32,2197,623,1784,599,1.901,120300,NEAR OCEAN
-117.12,32.71,24,421,101,396,113,0.6433,111300,NEAR OCEAN
-117.13,32.72,9,2436,720,1780,653,1.8299,137500,NEAR OCEAN
-117.13,32.72,19,1341,435,1048,360,1.975,117900,NEAR OCEAN
-117.12,32.72,36,6096,1285,3093,1229,3.37,159100,NEAR OCEAN
-117.12,32.73,50,2307,424,887,356,3.5156,168800,NEAR OCEAN
-117.12,32.73,52,3976,718,1750,769,3.4151,175400,NEAR OCEAN
-117.13,32.74,46,3355,768,1457,708,2.6604,170100,NEAR OCEAN
-117.13,32.73,52,1148,214,481,215,5.454,240900,NEAR OCEAN
-117.13,32.73,52,2676,557,1181,537,3.6058,213100,NEAR OCEAN
-117.13,32.74,50,1527,338,728,322,2.625,203200,NEAR OCEAN
-117.13,32.73,43,2706,667,1531,614,2.1513,145000,NEAR OCEAN
-117.13,32.72,43,2160,504,1221,452,2.4821,140600,NEAR OCEAN
-117.13,32.72,52,1560,307,757,315,2.7083,199100,NEAR OCEAN
-117.13,32.73,52,1911,415,777,412,2.2429,221100,NEAR OCEAN
-117.14,32.72,42,1558,458,1227,407,2.2804,139100,NEAR OCEAN
-117.13,32.72,17,1285,423,1208,409,1.758,126600,NEAR OCEAN
-117.14,32.71,34,1694,455,1467,425,2.1164,139400,NEAR OCEAN
-117.14,32.71,32,719,251,894,208,1.8456,103100,NEAR OCEAN
-117.14,32.72,43,1073,344,660,279,2.0529,168800,NEAR OCEAN
-117.14,32.72,45,1140,310,840,339,1.6156,156300,NEAR OCEAN
-117.14,32.72,34,2533,862,2011,778,2.1199,160400,NEAR OCEAN
-117.14,32.71,52,1225,332,955,321,1.6011,106300,NEAR OCEAN
-117.14,32.71,52,979,314,975,297,1.2375,100000,NEAR OCEAN
-117.14,32.71,52,800,313,1337,282,1.5594,87500,NEAR OCEAN
-117.14,32.71,52,500,,480,108,1.8696,91100,NEAR OCEAN
-117.13,32.71,37,1220,325,1472,323,1.825,81500,NEAR OCEAN
-117.13,32.71,35,614,180,691,164,1.6953,81300,NEAR OCEAN
-117.14,32.71,43,966,255,857,208,1.2841,72000,NEAR OCEAN
-117.14,32.71,39,1647,478,2176,479,1.7642,82900,NEAR OCEAN
-117.14,32.7,32,1280,353,1335,330,1.6023,77300,NEAR OCEAN
-117.13,32.7,35,365,98,463,112,2.5588,78800,NEAR OCEAN
-117.14,32.7,43,1126,289,1132,294,2.1875,87000,NEAR OCEAN
-117.14,32.7,40,1227,330,1199,316,1.2188,92500,NEAR OCEAN
-117.14,32.7,36,633,148,557,139,1.5729,82700,NEAR OCEAN
-117.14,32.7,48,510,180,545,132,1.8008,86500,NEAR OCEAN
-117.14,32.7,44,658,218,869,212,1.9338,89400,NEAR OCEAN
-117.14,32.7,47,552,161,593,174,0.9589,90000,NEAR OCEAN
-117.15,32.7,50,475,172,483,120,1.3657,162500,NEAR OCEAN
-117.15,32.71,52,402,183,557,172,1.3125,87500,NEAR OCEAN
-117.15,32.7,52,458,148,1283,166,1.2863,86300,NEAR OCEAN
-117.15,32.71,52,217,82,531,93,1.6607,137500,NEAR OCEAN
-117.15,32.72,52,344,177,460,147,1.2292,137500,NEAR OCEAN
-117.16,32.72,52,788,463,805,391,0.9142,162500,NEAR OCEAN
-117.16,32.71,52,845,451,1230,375,1.0918,22500,NEAR OCEAN
-117.16,32.71,5,2508,827,2066,761,1.3092,325000,NEAR OCEAN
-117.17,32.71,7,2493,693,951,641,4.2375,205000,NEAR OCEAN
-117.17,32.71,39,311,181,206,113,0.7685,187500,NEAR OCEAN
-117.14,32.73,26,450,132,317,109,4,137500,NEAR OCEAN
-117.15,32.72,51,1321,,781,499,1.3071,250000,NEAR OCEAN
-117.16,32.72,24,1232,663,1184,626,1.0391,162500,NEAR OCEAN
-117.16,32.73,52,1218,471,821,429,1.9597,200000,NEAR OCEAN
-117.16,32.72,27,1245,471,653,451,1.2668,225000,NEAR OCEAN
-117.17,32.73,52,408,143,313,143,1.815,116700,NEAR OCEAN
-117.17,32.72,44,626,256,572,229,1.5909,262500,NEAR OCEAN
-117.16,32.73,52,1682,617,873,534,2.0972,112500,NEAR OCEAN
-117.16,32.73,52,1863,559,906,493,1.9203,195800,NEAR OCEAN
-117.17,32.73,52,1578,487,879,446,2.4069,215000,NEAR OCEAN
-117.16,32.74,49,1815,495,601,410,3.0571,418800,NEAR OCEAN
-117.16,32.74,43,1437,406,692,379,3.1979,466700,NEAR OCEAN
-117.17,32.74,39,3803,806,1567,775,3.7039,361500,NEAR OCEAN
-117.17,32.74,38,5054,1168,2366,1103,2.9422,289400,NEAR OCEAN
-117.17,32.73,52,55,18,65,22,1.6591,112500,NEAR OCEAN
-117.2,32.76,40,581,157,298,156,2.4,255000,NEAR OCEAN
-117.19,32.75,33,1115,316,583,269,2.5882,258300,NEAR OCEAN
-117.18,32.74,20,1165,269,459,244,3.175,191700,NEAR OCEAN
-117.19,32.75,52,25,5,13,5,0.536,162500,NEAR OCEAN
-117.21,32.75,15,1716,702,914,672,1.0612,300000,NEAR OCEAN
-117.21,32.74,45,3025,583,1980,550,2.2982,87500,NEAR OCEAN
-117.21,32.75,27,2072,534,1118,510,2.8043,262100,NEAR OCEAN
-117.22,32.75,24,3914,985,2147,874,2.9735,225000,NEAR OCEAN
-117.22,32.75,26,696,185,384,184,2.6121,125000,NEAR OCEAN
-117.23,32.75,23,2415,653,1275,596,3.1389,101800,NEAR OCEAN
-117.22,32.75,26,617,112,251,110,3.8036,162000,NEAR OCEAN
-117.23,32.75,11,4304,1245,1960,1105,3.3456,159800,NEAR OCEAN
-117.21,32.74,52,1245,174,468,193,6.9322,334500,NEAR OCEAN
-117.22,32.74,52,1283,173,436,190,7.4029,345700,NEAR OCEAN
-117.22,32.74,52,1260,202,555,209,7.2758,345200,NEAR OCEAN
-117.22,32.74,41,2621,542,1074,471,2.4016,287500,NEAR OCEAN
-117.22,32.75,34,6001,1111,2654,1072,4.5878,291000,NEAR OCEAN
-117.22,32.73,38,3966,768,1640,729,3.8409,291400,NEAR OCEAN
-117.23,32.73,35,2914,683,1562,638,2.5259,240200,NEAR OCEAN
